n_folds,m1_only_wf_sharpe,m1_wf_ann_return,m1_folds_pos,ecdf_edge_vs_m1_mean,ir_edge_vs_ew_mean,m2_auc_mean,ew_wf_sharpe,variant,weights
6,0.7085488481184482,0.07382067215652117,0.6666666666666666,-0.18983870073438927,-0.6255021333454347,0.4864465815765497,0.7084256107487401,baseline,0.45/0.25/0.2/0.1
6,0.5000707141823022,0.05372640346752897,0.6666666666666666,-0.0833725518790747,-0.6875540358327726,0.4946445410256571,0.7084256107487401,momentum_only,0.7/0.0/0.2/0.1
6,0.5208725486737338,0.05798375219042315,0.8333333333333334,-0.13481536722482387,-0.6244951127741051,0.5037281189913616,0.7084256107487401,trend_only,0.0/0.7/0.2/0.1
6,0.6724937496959379,0.07069002148978738,0.6666666666666666,-0.21482696251363934,-0.6652798858319329,0.49764867351086095,0.7084256107487401,technical_5050,0.35/0.35/0.2/0.1
6,0.6897189371806624,0.07079605204671695,0.6666666666666666,-0.19538311778640535,-0.5414804201027171,0.5058269620527569,0.7084256107487401,no_macro,0.56/0.31/0.0/0.13
6,0.6380847237771726,0.06550320720855486,0.6666666666666666,-0.0383829462988134,-0.576875381947697,0.5116394494278181,0.7084256107487401,macro_heavy,0.35/0.2/0.35/0.1
6,0.8114731681257785,0.0785041412576634,1.0,-0.221501760948805,-0.5600273812245159,0.49317039776056554,0.7084256107487401,risk_heavy,0.4/0.22/0.18/0.2
6,0.6419938151478383,0.06568579588204167,0.6666666666666666,-0.05469431389595203,-0.45594997519235586,0.48448591453814455,0.7084256107487401,momentum_pure,0.85/0.0/0.0/0.15
