fold_id,train_start,train_end,test_start,test_end,test_weeks,m1_only_sharpe,m1_only_ann_return,ecdf_sharpe,ecdf_ann_return,ecdf_sharpe_edge_vs_m1,ecdf_return_edge_vs_m1,equal_weight_sharpe,m1_ir,ecdf_ir,ir_edge_vs_ew,m2_auc,m2_auc_pr,m2_n_trades
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,-0.08373479507586133,-0.006523080222022748,-0.2708427120831207,-0.00917188037231953,-0.18710791700725937,-0.0026488001502967817,0.0996254046183953,-0.32858978187415006,-0.287729124180376,-0.287729124180376,0.43513143041444924,0.4797623949877251,315
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,0.7673272167823265,0.0697468413338751,0.5327487815981838,0.005657082461452578,-0.23457843518414268,-0.06408975887242252,0.5139522575260383,0.7276497605906389,-0.495842449805517,-0.495842449805517,0.5307646356033453,0.6262973589405917,312
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,0.4772156900774478,0.054672448881522895,-0.14723289267904593,-0.012187015535390922,-0.6244485827564937,-0.06685946441691382,0.8546621798867884,-0.8525172983178464,-1.2531665148726994,-1.2531665148726994,0.44589156678637876,0.6269717645973802,312
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,-0.05184170744075026,-0.0052623851047726156,0.4297918849787424,0.016642912295639745,0.48163359241949266,0.02190529740041236,-0.2794598748294251,0.4388682061566709,0.4318350488930618,0.4318350488930618,0.5216295332574402,0.6237779877020765,315
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,1.1240314730707017,0.0952259710734733,0.5326537143077603,0.01991239304989456,-0.5913777587629414,-0.07531357802357874,1.1727146864872975,-0.492166024461111,-1.192518836681284,-1.192518836681284,0.46562566844919784,0.5852888705626758,312
6,2006-01-01,2024-12-31,2025-01-01,2026-07-10,80,1.9053157456701093,0.21691651631822584,1.8888961402430218,0.167745812139233,-0.016419605427087536,-0.04917070417899283,1.889059010803346,0.48797194916728537,-0.45146064396948865,-0.45146064396948865,0.6359189378057303,0.7314665404510896,240
