fold_id,train_start,train_end,test_start,test_end,test_weeks,m1_only_sharpe,m1_only_ann_return,ecdf_sharpe,ecdf_ann_return,ecdf_sharpe_edge_vs_m1,ecdf_return_edge_vs_m1,equal_weight_sharpe,m1_ir,ecdf_ir,ir_edge_vs_ew,m2_auc,m2_auc_pr,m2_n_trades
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,-0.12850578933001408,-0.01014977063872069,-0.5124468781959789,-0.023029761415103378,-0.3839410888659648,-0.012879990776382688,0.0996254046183953,-0.39060885532756784,-0.5257141908472133,-0.5257141908472133,0.463620230700976,0.47169860418726905,315
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,0.9472955672273085,0.07976682299483073,0.2506613018427926,0.01164155627375485,-0.6966342653845159,-0.06812526672107588,0.5139522575260383,0.9009464574584505,-0.5754901022661866,-0.5754901022661866,0.4114322691975841,0.5486849104711295,312
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,0.5695482614272063,0.06596479944866518,0.4329390274951933,0.04028077168547761,-0.13660923393201296,-0.025684027763187567,0.8546621798867884,-0.7643713943700547,-0.9837458961189554,-0.9837458961189554,0.49824067558057705,0.666760410786915,312
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,-0.05693479528881317,-0.00567882643499229,0.8620661194284556,0.031047281248522962,0.9190009147172687,0.03672610768351525,-0.2794598748294251,0.43159160430976323,0.5526835711766697,0.5526835711766697,0.5804061246213051,0.6402936075840315,315
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,1.093199326034336,0.09761181374899408,0.63462833364169,0.030388516013010847,-0.458570992392646,-0.06722329773598323,1.1727146864872975,-0.4132921203939574,-1.1444725123832062,-1.1444725123832062,0.4291666666666667,0.5927951847204773,312
6,2006-01-01,2024-12-31,2025-01-01,2026-07-10,80,1.8266905186406655,0.21540919382035018,1.4444129800922003,0.13169699052958905,-0.38227753854846513,-0.08371220329076112,1.889059010803346,0.49961519317845415,-1.0762736696337163,-1.0762736696337163,0.535813522692189,0.6519009203096195,240
