variant,m1_only_wf_sharpe,m1_folds_pos,m1_wf_ann_return,ecdf_edge_vs_m1_mean,m2_auc_mean,weights
risk_heavy,0.8114731681257785,1.0,0.0785041412576634,-0.221501760948805,0.49317039776056554,0.4/0.22/0.18/0.2
baseline,0.7085488481184482,0.6666666666666666,0.07382067215652117,-0.18983870073438927,0.4864465815765497,0.45/0.25/0.2/0.1
no_macro,0.6897189371806624,0.6666666666666666,0.07079605204671695,-0.19538311778640535,0.5058269620527569,0.56/0.31/0.0/0.13
technical_5050,0.6724937496959379,0.6666666666666666,0.07069002148978738,-0.21482696251363934,0.49764867351086095,0.35/0.35/0.2/0.1
momentum_pure,0.6419938151478383,0.6666666666666666,0.06568579588204167,-0.05469431389595203,0.48448591453814455,0.85/0.0/0.0/0.15
macro_heavy,0.6380847237771726,0.6666666666666666,0.06550320720855486,-0.0383829462988134,0.5116394494278181,0.35/0.2/0.35/0.1
trend_only,0.5208725486737338,0.8333333333333334,0.05798375219042315,-0.13481536722482387,0.5037281189913616,0.0/0.7/0.2/0.1
momentum_only,0.5000707141823022,0.6666666666666666,0.05372640346752897,-0.0833725518790747,0.4946445410256571,0.7/0.0/0.2/0.1
