ticker,period,name,asset_class,benchmark,annualized_return,annualized_volatility,sharpe,max_drawdown,total_return,weekly_hit_rate
SP500,full,S&P 500 Index,Equity,S&P 500 Index (^GSPC),0.12242254721891688,0.16236435006331743,0.7539989361653319,-0.3181032904337876,4.755222252819493,0.5850253807106599
MSCI_EAFE,full,MSCI EAFE Index Proxy,Equity,MSCI EAFE public proxy (EFA),0.06798848734640384,0.17152524448612055,0.3963759827312493,-0.3341503965217467,1.7095266319112632,0.5583756345177665
MSCI_EM,full,MSCI Emerging Markets Index Proxy,Equity,MSCI Emerging Markets public proxy (EEM),0.044272760459628246,0.19664907074776797,0.22513587423158854,-0.3915776966521749,0.9279852164611087,0.5380710659898477
UST_7_10,full,U.S. Treasury 7-10 Year Index Proxy,Fixed Income,U.S. Treasury 7-10 Year public proxy (IEF),0.019270620876273625,0.06349496705481465,0.3034983994816072,-0.2325553688225197,0.33542008901026343,0.5444162436548223
US_HIGH_YIELD,full,U.S. High Yield Bond Index Proxy,Fixed Income,U.S. High Yield public proxy (HYG),0.04705372774185146,0.09078177888097788,0.5183168728555388,-0.20747274461483178,1.0072739967927657,0.5812182741116751
GOLD_SPOT,full,Gold Spot / Gold Index Proxy,Commodity,Gold futures / spot proxy (GC=F),0.06647218189856541,0.16256050323430804,0.40890733342991153,-0.4363025144387217,1.6518130494332155,0.549492385786802
US_REIT,full,U.S. REIT Index,Real Estate,NASDAQ U.S. Benchmark REIT Index,0.0368598574355965,0.2019485353941238,0.1825210436097524,-0.39965720203060195,0.7306903969478065,0.5380710659898477
