sleeve,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,interaction_excess_ann,combined_excess_ann,sum_standalone_excess_ann
full_m1,0.0058706213797348195,0.05840812727166653,0.10051035110969268,-0.13160872003780666,-0.12485647874096839,0.13468554765715318,7.003648478171965,0.5171102661596958,,,
momentum_score,-0.012403235291654546,0.06669162522011089,-0.1859789029090019,-0.2938288559318567,-0.16906262083045143,0.3299485539670729,17.15732480628779,0.523447401774398,,,
trend_score,-0.00557451751996485,0.0691381911819599,-0.08062862832632797,-0.2828130897359564,-0.1638077291408515,0.1705701791630576,8.869649316478995,0.5031685678073511,,,
macro_score,-0.01717924001820814,0.06613570694102072,-0.25975741112933814,-0.35104841449231183,-0.13623857260898364,0.24471465794063088,12.725162212912807,0.49049429657794674,,,
risk_penalty,-0.02794280942568439,0.06822684845631832,-0.4095573818505561,-0.3656153260708572,-0.17247154500714745,0.3338296063557371,17.35913953049833,0.45754119138149557,,,
interaction,,,,,,,,,0.26469315506537805,-0.059370289096975615,-0.32406344416235366
