period,allocation_state,count,share
full,no_signal,791,0.1432192648922687
full,m3_zero,2708,0.49031323556038386
full,m3_active,2024,0.3664674995473475
train,no_signal,502,0.14342857142857143
train,m3_zero,1282,0.36628571428571427
train,m3_active,1716,0.49028571428571427
test,no_signal,289,0.14285714285714285
test,m3_zero,1426,0.7048937221947602
test,m3_active,308,0.1522491349480969
