m1_signal,signal_label,observations,share_of_panel,labeled_trades,m1_hit_rate,mean_trade_return,median_trade_return,m2_approval_rate,hit_rate_m2_approved,hit_rate_m2_rejected,mean_return_m2_approved,mean_return_m2_rejected,m2_accuracy,m2_precision,m2_recall,m2_f1,m2_auc
-1,Short (−1),867,0.42857142857142855,867.0,0.4002306805074971,-0.0032603909212859977,-0.004382237593448579,0.0,,0.4002306805074971,,-0.0032603909212859977,0.5997693194925029,0.0,0.0,0.0,0.5367712258922633
0,Flat (0),289,0.14285714285714285,,,,,,,,,,,,,,
1,Long (+1),867,0.42857142857142855,867.0,0.6078431372549019,0.00885668199898121,0.011250715399250266,0.05536332179930796,0.5833333333333334,0.6092796092796092,0.011143629373217535,0.008720655389361206,0.4013840830449827,0.5833333333333334,0.05313092979127135,0.09739130434782609,0.5268556758566805
