m3_mode,m1_candidates,m3_zero_count,m3_active_count,m3_zero_share,mean_m3_size_on_candidates
binary,5916,4819,1097,0.8145706558485463,0.18542934415145368
linear,5916,2930,2986,0.49526707234617984,0.04298631813562077
ecdf,5916,0,5916,0.0,0.5493075991444014
