regime_flag,regime_state,auc,n_trades,base_rate
risk_off,on,0.6010868112778941,300,0.5233333333333333
risk_off,off,0.5961458035476347,1434,0.5
curve_inverted,off,0.596445106700016,1734,0.5040369088811996
inflation_up,on,0.5645562664363937,714,0.4887955182072829
inflation_up,off,0.6394074074074074,1020,0.5147058823529411
growth_down,on,0.6352729992520567,732,0.5218579234972678
growth_down,off,0.5894428503108561,1002,0.49101796407185627
