variant,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate
full_m1,0.0058706213797348195,0.05840812727166653,0.10051035110969268,-0.13160872003780666,-0.12485647874096839,0.13468554765715318,7.003648478171965,0.5171102661596958
ablate_momentum,0.010248552462474692,0.06398890215193567,0.1601614048345518,-0.17462313599310297,-0.14664057400943198,0.20321313393312432,10.567082964522465,0.5247148288973384
ablate_trend,-0.004269086073350636,0.062200942752881995,-0.06863378406194388,-0.19253211019752192,-0.12646537417582482,0.32398109905158295,16.847017150682312,0.5259822560202788
ablate_macro,-0.002786930467565951,0.06525874104713889,-0.04270585706752824,-0.2046703386121954,-0.13271709531414988,0.18514039332009377,9.627300452644876,0.5158428390367554
ablate_risk_penalty,0.00036168042146167423,0.06226281511195073,0.005808931395269554,-0.1664225658764319,-0.14974363543687796,0.20931831243653123,10.884552246699624,0.5196451204055766
