regime_flag,n_transitions,pct_on,avg_spell_on_weeks,avg_spell_off_weeks
risk_off,102,0.2778904665314402,5.269230769230769,13.96078431372549
curve_inverted,0,0.0,,986.0
inflation_up,25,0.40872210953346855,31.0,44.84615384615385
growth_down,20,0.526369168356998,51.9,42.45454545454545
