variant,description,momentum,trend,macro,risk_penalty,train_ann_return,train_sharpe,train_max_drawdown,test_ann_return,test_sharpe,test_max_drawdown
baseline,Current config weights,0.45,0.25,0.2,0.1,0.008940933647641813,0.1212412394469562,-0.14809347458835986,0.02669653640993208,0.4738491059420797,-0.09105131068774897
ic_proportional_train,Train non-negative IC normalized to sum to 1,0.48900971817818994,0.06476473561071985,0.14787377688214554,0.29835176932894464,-0.001315111718208306,-0.016456904077029724,-0.24784836170608648,0.018489992157585622,0.3128535860741828,-0.11474166352864612
trend_heavy,Shift weight from momentum to trend (mom-trend corr 0.77),0.25,0.45,0.2,0.1,0.006964816317744482,0.0900875857250359,-0.20331255052064268,0.026600376636293666,0.45825477570575784,-0.08243258731478131
low_momentum,Moderate momentum reduction with higher trend weight,0.3,0.4,0.2,0.1,0.010098485234013355,0.13175359265083694,-0.1798857497953572,0.02434361521594841,0.42356480416881526,-0.07538370921119819
ablate_momentum,Zero momentum weight; trend-only technical signal (ablation-style),0.0,0.7,0.2,0.1,0.013095538722120992,0.1648658107465692,-0.17344919306027762,0.03437662691769794,0.5942699504365123,-0.055277870697473364
technical_ic_blend,Single technical bucket (88% mom / 12% trend by train IC),0.7,0.0,0.2,0.1,0.013649108734619109,0.17550216202372268,-0.14001755750716938,0.026372028875343068,0.4524675560198978,-0.09403038602667779
grid_best_train,Best coarse grid combo by train Sharpe (may overfit train),0.4,0.35,0.2,0.05,0.01695221598974217,0.21991898245989372,-0.15088175015543315,0.032808078313281364,0.5737888671294351,-0.05408553314080944
