strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.07362465458614587,0.1289817200697988,0.5708146437053536,-0.39442989970107944,-0.39442989970107944,0.0010141987829614602,0.05273833671399593,0.5598377281947262,0.0,0.0
sixty_forty,0.06564032805732567,0.13267499341133865,0.49474528974588156,-0.4313626336115338,-0.42337049690350703,0.0,0.0,0.5649087221095335,-0.007984326528820196,-0.2785469615266807
m1_only,0.014041343792003724,0.06914508280010308,0.2030707495513013,-0.14809347458835986,-0.1397389246534333,0.10713441935418223,5.570989806417476,0.5182555780933062,-0.05958331079414214,-0.3970584348552112
m1_m2_m3_binary,0.01759847434458539,0.061141850750574434,0.28783025257736494,-0.24331180293157906,-0.24331180293157906,0.15870566099050054,8.252694371506028,0.3052738336713996,-0.056026180241560475,-0.5410229842856
m1_m2_m3_linear,0.005430703064076781,0.010392672389639776,0.5225511649429581,-0.042138549186874874,-0.042138549186874874,0.03087305446844909,1.6053988323593527,0.5851926977687627,-0.06819395152206909,-0.6014781441681056
m1_m2_m3_ecdf,0.05231146310463042,0.06904029284149271,0.7576946874302887,-0.11796558434155235,-0.11796558434155235,0.20155130433780505,10.480667825565863,0.5841784989858012,-0.021313191481515448,-0.21149686632818715
m1_m2_passthrough,0.017579664227153735,0.06032730495952513,0.29140476669641224,-0.11384389341849566,-0.10643284842506973,0.11415245822173962,5.9359278275304606,0.5304259634888439,-0.05604499035899213,-0.40484263318649333
