risk_off,n_trades,base_rate,auc,approval_rate,mean_trade_return,curve_inverted,inflation_up,growth_down
0.0,1434,0.5,0.5961458035476347,0.029288702928870293,0.0034103793388608203,,,
1.0,300,0.5233333333333333,0.6010868112778941,0.02,-7.935332121450367e-05,,,
,1734,0.5040369088811996,0.596445106700016,0.02768166089965398,0.0027981455388476047,0.0,,
,1020,0.5147058823529411,0.6394074074074074,0.00784313725490196,0.0033516645849319114,,0.0,
,714,0.4887955182072829,0.5645562664363937,0.056022408963585436,0.001979899992462109,,1.0,
,1002,0.49101796407185627,0.5894428503108561,0.03992015968063872,0.002792386224865809,,,0.0
,732,0.5218579234972678,0.6352729992520567,0.01092896174863388,0.002805840359987218,,,1.0
