fold_id,train_start,train_end,test_start,test_end,test_weeks,m1_only_sharpe,m1_only_ann_return,ecdf_sharpe,ecdf_ann_return,ecdf_sharpe_edge_vs_m1,ecdf_return_edge_vs_m1,equal_weight_sharpe,m2_auc,m2_auc_pr,m2_n_trades
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,-0.009435085751101885,-0.0008923839470185158,-0.19706151575286596,-0.013781333400998297,-0.18762643000176407,-0.012888949453979781,0.2059283582047757,0.4706119487220834,0.45987079840248785,315
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,1.015654449665471,0.08520724688094616,1.7423296736205478,0.07003780945884275,0.7266752239550769,-0.015169437422103416,0.5454416445837736,0.6306180370229169,0.6574411889849903,312
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,0.8052821432302288,0.09512725601098304,0.99555492774344,0.06875242734885134,0.19027278451321117,-0.0263748286621317,1.0118808747419323,0.5679113841893471,0.6523833876271765,312
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,-0.022375250851562882,-0.0025154097237640727,0.4017952849217361,0.027849882064907128,0.424170535773299,0.0303652917886712,-0.3228668129711893,0.5061453869167947,0.585656004393908,315
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,1.1562502325790776,0.10268718532076604,1.1881513717597274,0.07089353472713333,0.03190113918064985,-0.031793650593632705,1.1535195227251596,0.6128990509059534,0.7016711786363587,312
6,2006-01-01,2024-12-31,2025-01-01,2026-06-12,76,1.563374806889151,0.1880770021345919,1.4424434336752772,0.12741554701608715,-0.12093137321387393,-0.06066145511850474,1.7729750212483948,0.501097972972973,0.6572920928238803,228
