regime_flag,regime_state,n_weeks,mean_active_return_ann,information_ratio,pct_weeks_ew_outperformed,strategy,period
curve_inverted,off,986,-0.002577426811676804,-0.03237067837575443,0.49290060851926976,m1_m2_m3_binary,full
inflation_up,on,403,0.07015162529022444,0.8338372361417048,0.46898263027295284,m1_m2_m3_binary,full
inflation_up,off,583,-0.05285154001419173,-0.6987197775568269,0.5094339622641509,m1_m2_m3_binary,full
growth_down,on,519,-0.010878571793498886,-0.11352992873122718,0.5028901734104047,m1_m2_m3_binary,full
growth_down,off,467,0.006648042664909194,0.11768625389826637,0.4817987152034261,m1_m2_m3_binary,full
risk_off,on,50,-0.02578221720221887,-0.3802712035214772,0.42,m1_m2_m3_binary,test
risk_off,off,235,0.017455414304411426,0.39303275650013064,0.425531914893617,m1_m2_m3_binary,test
curve_inverted,off,285,0.009869864917283309,0.20048855803576804,0.4245614035087719,m1_m2_m3_binary,test
inflation_up,on,115,0.0028526069104246447,0.05634932651983732,0.46956521739130436,m1_m2_m3_binary,test
inflation_up,off,170,0.014616833568981814,0.30198333430828106,0.3941176470588235,m1_m2_m3_binary,test
growth_down,on,122,0.01473192314458417,0.3120297847983841,0.4098360655737705,m1_m2_m3_binary,test
growth_down,off,163,0.006230778391328056,0.12259531890248321,0.43558282208588955,m1_m2_m3_binary,test
