variant,period,annualized_return,sharpe,max_drawdown,excess_return_vs_benchmark,information_ratio,mean_gross_exposure,annualized_turnover,hit_rate,n_weeks,turnover_vs_baseline
m3_floor_0.6,full,0.06129654680793051,0.7732088087534784,-0.18634626448137515,-0.012328107778215358,-0.2079787762248791,0.5825456591471965,5.522571355879296,0.5851926977687627,986,-0.30651639971044586
m3_floor_0.6,test,0.07154465152398792,0.871833801036072,-0.14915141771313356,-0.0018487823100736822,-0.08126674974553758,0.6219566487754336,6.146161746221188,0.5964912280701754,285,-0.2282105379781424
m3_floor_0.7,full,0.06309113016934598,0.7465184389133411,-0.1880170337519066,-0.010533524416799889,-0.18580793934510403,0.6296893774663253,5.079625720831092,0.5872210953346856,986,-0.3621382312688113
m3_floor_0.7,test,0.07359710783129803,0.8420958008981084,-0.1661406637072791,0.00020367399723641988,-0.03563055019920595,0.6630254289373553,5.678398590529322,0.6,285,-0.2869487699335628
ew_blend_0.7,full,0.06877815579223046,0.8572635895625857,-0.22129250514124876,-0.00484649879391541,-0.15057952549003822,0.615043420639195,5.587628113968997,0.5851926977687627,986,-0.29834705396262085
ew_blend_0.7,test,0.07155824909721864,0.893637797612277,-0.15250093219822491,-0.0018351847368429652,-0.10182638550666968,0.6663334425106989,5.737428671221563,0.5543859649122806,285,-0.2795362096883688
ew_blend_0.8,full,0.0677288899008679,0.9008405093425076,-0.20036762201696556,-0.005895764685277971,-0.15052773987551915,0.5601945091280746,6.378326653576855,0.5912778904665315,986,-0.1990569887636997
ew_blend_0.8,test,0.07114616380303063,0.9206558061909539,-0.1395827456742177,-0.002247270031030979,-0.10182638550666966,0.6186667914407988,6.557061338538929,0.5649122807017544,285,-0.17661281107242144
ew_blend_0.9,full,0.0665902114984751,0.9382917435826218,-0.17932394618041458,-0.007034443087670761,-0.15049188380200806,0.5053455976169541,7.169749577318815,0.5943204868154158,986,-0.09967596077137342
ew_blend_0.9,test,0.07069670334989953,0.9445412859029302,-0.1265217056230139,-0.00269673048416208,-0.10182638550666964,0.5710001403708987,7.376694005856296,0.5859649122807018,285,-0.07368941245647398
regime_m3,full,0.06813386366459895,0.9671629290786564,-0.14720319912155133,-0.0054907909215469175,-0.11946260607151335,0.4840131030013373,8.65806854574519,0.5993914807302231,986,0.08721610998562346
regime_m3,test,0.07214325590041093,0.9261438100799584,-0.1351843432325659,-0.0012501779336506758,-0.0668732888146145,0.5667159630768076,9.081093675789473,0.5964912280701754,285,0.14033647209443645
vol_bump_0.55_1.10,full,0.07185293584299646,0.9642634821928673,-0.177782424989122,-0.0017717187431494086,-0.08042803481503916,0.49554635471641706,8.759873324950682,0.5963488843813387,986,0.10000000000000009
vol_bump_0.55_1.10,test,0.07717898467875428,0.9634837361251006,-0.12414033441877625,0.0037855508446926756,0.01749082024855329,0.5756668382310985,9.01595934049103,0.5929824561403508,285,0.13215738477542072
vol_bump_0.55_1.15,full,0.07509451724344429,0.9639494872146426,-0.18530222857904277,0.0014698626572984264,-0.04428300868659983,0.5180711890217086,9.158049385175714,0.5963488843813387,986,0.15000000000000013
vol_bump_0.55_1.15,test,0.080658844014323,0.9631460888581923,-0.12951743279281214,0.007265410180261389,0.0795347435816057,0.6018335126961485,9.42577567414971,0.5929824561403508,285,0.183619084083394
vol_bump_0.60_1.15,full,0.07509451724344429,0.9639494872146426,-0.18530222857904277,0.0014698626572984264,-0.04428300868659983,0.5180711890217086,9.158049385175714,0.5963488843813387,986,0.15000000000000013
vol_bump_0.60_1.15,test,0.080658844014323,0.9631460888581923,-0.12951743279281214,0.007265410180261389,0.0795347435816057,0.6018335126961485,9.42577567414971,0.5929824561403508,285,0.183619084083394
