fold_id,train_start,train_end,test_start,test_end,test_weeks,m1_ir,ecdf_ir,ir_edge_vs_ew,winner_ir,winner_ir_edge_vs_ew
1,2006-01-01,2014-12-31,2015-01-01,2016-12-31,105,-0.33699477195091554,-0.5614391286883617,-0.5614391286883617,-0.5836064909395173,-0.5836064909395173
2,2006-01-01,2016-12-31,2017-01-01,2018-12-31,104,0.9529845814603866,0.4283973680991609,0.4283973680991609,0.6149249033737565,0.6149249033737565
3,2006-01-01,2018-12-31,2019-01-01,2020-12-31,104,-0.6690722393619052,-0.7326488397415194,-0.7326488397415194,-0.6682823382092354,-0.6682823382092354
4,2006-01-01,2020-12-31,2021-01-01,2022-12-31,105,0.6357364044155707,0.877881041625135,0.877881041625135,0.9857549172266533,0.9857549172266533
5,2006-01-01,2022-12-31,2023-01-01,2024-12-31,104,-0.36887497013362414,-0.8312590863662652,-0.8312590863662652,-0.7012558926667221,-0.7012558926667221
6,2006-01-01,2024-12-31,2025-01-01,2026-06-12,76,0.21170267706286156,-1.1561471212274317,-1.1561471212274317,-0.6705512046529366,-0.6705512046529366
