strategy,period,annualized_return,annualized_volatility,sharpe,max_drawdown,hit_rate,n_weeks,excess_return_vs_benchmark,information_ratio,mean_active_return_ann,tracking_error_ann,return_correlation_vs_ew,pct_weeks_ew_outperformed,mean_gross_exposure,mean_gross_vs_ew,median_gross_exposure,pct_weeks_below_half_invested
m1_only,full,0.07319849646679488,0.10426328396287823,0.7020543923482823,-0.21003977682248687,0.5882352941176471,986,-0.00042615811935098336,-0.04133651366271776,-0.003295204827526936,0.07971656377250189,0.7864476201010455,0.49290060851926976,0.8061048567344449,-0.1928809444825932,0.8571420000000001,0.05070993914807302
m1_only,test,0.08404410490911496,0.10679730999155222,0.786949642418549,-0.21003977682248642,0.5964912280701754,285,0.010650671075053353,0.2004885580357674,0.009869864917283273,0.0492290683018553,0.8940527406144249,0.4245614035087719,0.8197211596405216,-0.18027884035947805,0.8571420000000001,0.0
m1_m2_m3_ecdf,full,0.06536168922503505,0.06774170335457674,0.9648663376962324,-0.16259985729104198,0.5963488843813387,986,-0.008262965361110819,-0.1504761145059404,-0.013800272586606639,0.09171071855435128,0.7333020030171441,0.5273833671399595,0.45049668610583365,-0.5484891151112047,0.46083779743223974,0.5811359026369168
m1_m2_m3_ecdf,test,0.07020991066292082,0.07282189694918939,0.9641318559980515,-0.11331717685054965,0.5929824561403508,285,-0.0031835231711407896,-0.10182638550666966,-0.0060467989670209416,0.05938341950304102,0.849194594420245,0.4982456140350877,0.5233334893009987,-0.4766665106990012,0.5499620884450784,0.4105263157894737
m1_m2_m3_linear,full,0.01774531240772892,0.021272360573418213,0.8341957323675367,-0.04974845401133099,0.5892494929006086,986,-0.055879342178416946,-0.5481379676813214,-0.06162977452424053,0.11243478495923329,0.8104279922655137,0.5547667342799188,0.15733975581275936,-0.8416460454042789,0.1582263657989062,1.0
m1_m2_m3_linear,test,0.01866810364426774,0.02171458861145577,0.8597033072235676,-0.044004154876644,0.6,285,-0.054725330189793864,-0.6565359493552618,-0.05785188042440264,0.08811685099835727,0.8977249805610795,0.543859649122807,0.1640493671016123,-0.8359506328983873,0.16495500323024728,1.0
m1_m2_m3_binary,full,0.07396700821729452,0.10427174832068596,0.7093676802062459,-0.2100397768224872,0.5892494929006086,986,0.0003423536311486508,-0.03237067837575443,-0.002577426811676804,0.07962226746558675,0.7870079891481777,0.49290060851926976,0.8050321342216243,-0.19395366699541372,0.8571420000000001,0.05070993914807302
m1_m2_m3_binary,test,0.08404410490911496,0.10679730999155225,0.7869496424185488,-0.21003977682248676,0.5964912280701754,285,0.010650671075053353,0.20048855803576804,0.009869864917283309,0.04922906830185531,0.8940527406144251,0.4245614035087719,0.8197211596405218,-0.18027884035947783,0.8571420000000001,0.0
