transaction_cost_bps,strategy,annualized_return,sharpe,max_drawdown,hit_rate,n_weeks,ecdf_sharpe_edge_vs_m1
0.0,equal_weight_1_7,0.07814889487874366,0.7445336662953294,-0.22338546156870653,0.5640138408304498,289,
0.0,m1_only,0.09209944648581092,0.9045168379765048,-0.19979806399472,0.6020761245674741,289,
0.0,m1_m2_m3_ecdf,0.04837044702842741,0.9636752620156874,-0.07488932869319853,0.5605536332179931,289,0.05915842403918259
5.0,equal_weight_1_7,0.07814889487874366,0.7445336662953294,-0.22338546156870653,0.5640138408304498,289,
5.0,m1_only,0.0892058152112627,0.8754129876168043,-0.20165212711867053,0.5986159169550173,289,
5.0,m1_m2_m3_ecdf,0.04584696165882174,0.9137394381932734,-0.07512229488007793,0.5501730103806228,289,0.03832645057646911
10.0,equal_weight_1_7,0.07814889487874366,0.7445336662953294,-0.22338546156870653,0.5640138408304498,289,
10.0,m1_only,0.08631903075937242,0.8463720239948023,-0.20350257032628594,0.5916955017301038,289,
10.0,m1_m2_m3_ecdf,0.04332922502425118,0.8638122188057359,-0.07535522088297386,0.5397923875432526,289,0.017440194810933618
25.0,equal_weight_1_7,0.07814889487874366,0.7445336662953294,-0.22338546156870653,0.5640138408304498,289,
25.0,m1_only,0.07769961553439098,0.7596755783834535,-0.2090322385359712,0.5847750865051903,289,
25.0,m1_m2_m3_ecdf,0.03581038354141053,0.7141988821940636,-0.07605375783046475,0.5190311418685121,289,-0.045476696189389876
