regime_flag,regime_state,auc,n_trades,base_rate
risk_off,on,0.6194627290517701,150,0.5133333333333333
risk_off,off,0.5839721665290718,705,0.6056737588652482
curve_inverted,off,0.5884208384208385,855,0.5894736842105263
inflation_up,on,0.5148078346907181,345,0.4811594202898551
inflation_up,off,0.5627322141186184,510,0.6627450980392157
growth_down,on,0.5645342312008979,366,0.6311475409836066
growth_down,off,0.6051417718084384,489,0.558282208588957
