strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate,excess_return_vs_benchmark,information_ratio
equal_weight_1_7,0.06524091047671043,0.11174739445602438,0.5838248917954368,-0.22894875688704042,-0.22894875688704042,0.0012674271229404306,0.0659062103929024,0.5690747782002535,0.0,0.0
sixty_forty,0.05880342739330491,0.11255193827650928,0.5224559282918878,-0.23864711559463037,-0.23864711559463037,0.0,0.0,0.5741444866920152,-0.006437483083405526,-0.26379211075019476
m1_only,0.05913436892690105,0.09584800614764315,0.6169598231997769,-0.2016521271186711,-0.2016521271186711,0.10484217846378821,5.451793280116987,0.5842839036755386,-0.006106541549809386,-0.12094239968346622
m1_m2_m3_binary,0.05660455614152671,0.0916474243657387,0.6176339000606726,-0.182062862438924,-0.1690000914128147,0.1236980230287818,6.432297197496654,0.5576679340937896,-0.008636354335183727,-0.14688973607724123
m1_m2_m3_linear,0.010752513428682997,0.01860893086705081,0.577814679709597,-0.03957886757910867,-0.037491807323381865,0.030880111270080574,1.6057657860441898,0.5728770595690748,-0.05448839704802744,-0.5991346229748858
m1_m2_m3_ecdf,0.018084564852202778,0.054533898990076705,0.3316206100629912,-0.13112679179656772,-0.09748990094175003,0.12620314496577947,6.562563538220533,0.5551330798479087,-0.047156345624507656,-0.5725223551969956
m1_m2_passthrough,0.038344291447593326,0.05889508272128566,0.651060999931919,-0.11475194341394257,-0.11475194341394257,0.0678721175989044,3.5293501151430284,0.5792141951837769,-0.026896619029117108,-0.4350102201475759
