regime_flag,regime_state,strategy,n_weeks,annualized_return,sharpe,hit_rate
risk_off,on,equal_weight_1_7,176,0.2339873181593397,1.4106113922181795,0.6363636363636364
risk_off,on,m1_only,176,0.1446433629232824,1.1908883290466583,0.6647727272727273
risk_off,on,m1_m2_m3_ecdf,176,0.058263088207137326,0.7957034998429674,0.6363636363636364
risk_off,on,m1_m2_ecdf,176,0.058263088207137326,0.7957034998429674,0.6363636363636364
risk_off,off,equal_weight_1_7,613,0.021202826144775644,0.23646550690227064,0.5497553017944535
risk_off,off,m1_only,613,0.03578561302751604,0.4114581150689428,0.5611745513866232
risk_off,off,m1_m2_m3_ecdf,613,0.0068332509679112086,0.1429577843441906,0.531810766721044
risk_off,off,m1_m2_ecdf,613,0.0068332509679112086,0.1429577843441906,0.531810766721044
curve_inverted,off,equal_weight_1_7,789,0.06524091047671043,0.5838248917954368,0.5690747782002535
curve_inverted,off,m1_only,789,0.05913436892690105,0.6169598231997769,0.5842839036755386
curve_inverted,off,m1_m2_m3_ecdf,789,0.018084564852202778,0.3316206100629912,0.5551330798479087
curve_inverted,off,m1_m2_ecdf,789,0.018084564852202778,0.3316206100629912,0.5551330798479087
inflation_up,on,equal_weight_1_7,325,-0.023169211080389385,-0.18561659076685846,0.5384615384615384
inflation_up,on,m1_only,325,0.000641228906286706,0.006232664050314614,0.5446153846153846
inflation_up,on,m1_m2_m3_ecdf,325,0.0003442712059584796,0.005792287028135816,0.5076923076923077
inflation_up,on,m1_m2_ecdf,325,0.0003442712059584796,0.005792287028135816,0.5076923076923077
inflation_up,off,equal_weight_1_7,464,0.13188943031407385,1.3069349360035918,0.5905172413793104
inflation_up,off,m1_only,464,0.1021293391311846,1.1308550233849044,0.6120689655172413
inflation_up,off,m1_m2_m3_ecdf,464,0.030697442731013602,0.6040597463390392,0.5883620689655172
inflation_up,off,m1_m2_ecdf,464,0.030697442731013602,0.6040597463390392,0.5883620689655172
growth_down,on,equal_weight_1_7,397,0.06682649226367876,0.5639399412270446,0.5566750629722922
growth_down,on,m1_only,397,0.05220486825465476,0.5464960946359161,0.5843828715365239
growth_down,on,m1_m2_m3_ecdf,397,0.008535539903397504,0.15401041213214076,0.5440806045340051
growth_down,on,m1_m2_ecdf,397,0.008535539903397504,0.15401041213214076,0.5440806045340051
growth_down,off,equal_weight_1_7,392,0.06363750628368647,0.6082899156367391,0.5816326530612245
growth_down,off,m1_only,392,0.06619876980969552,0.6875245772116767,0.5841836734693877
growth_down,off,m1_m2_m3_ecdf,392,0.02784754162961489,0.51897945916826,0.5663265306122449
growth_down,off,m1_m2_ecdf,392,0.02784754162961489,0.51897945916826,0.5663265306122449
