decile,n,mean_p_success,mean_trade_return,hit_rate
"(0.558, 0.579]",85,0.5723529409353821,-0.0010135886179545698,0.5058823529411764
"(0.579, 0.585]",84,0.5824820880604451,0.0033751034629224672,0.5119047619047619
"(0.585, 0.59]",84,0.5877515924587096,0.008092603979904115,0.6547619047619048
"(0.59, 0.593]",84,0.5917581247379806,-0.0017691754003110447,0.4523809523809524
"(0.593, 0.596]",85,0.5948622882571823,0.008813313648569925,0.5529411764705883
"(0.596, 0.599]",84,0.5976799674341865,0.010616606647120368,0.6309523809523809
"(0.599, 0.602]",84,0.6008072179424161,0.0028306966185443812,0.5357142857142857
"(0.602, 0.607]",84,0.6042643585941916,0.014027852354880672,0.6547619047619048
"(0.607, 0.613]",84,0.6089994865353148,0.013195298132429277,0.7142857142857143
"(0.613, 0.639]",85,0.6169224528407602,0.024404798645934235,0.7647058823529411
