ticker,ic,n_obs,hit_rate
GOLD_SPOT,0.022399912911402902,285,0.6255707762557078
MSCI_EAFE,0.05713167484850212,285,0.6111111111111112
MSCI_EM,0.18027909821831242,285,0.632183908045977
SP500,-0.09933957813868859,285,0.6548223350253807
UST_7_10,-0.12033726095994442,285,0.40816326530612246
US_HIGH_YIELD,0.012889630754716002,285,0.7575757575757576
US_REIT,-0.1197089789380375,285,0.5057471264367817
