period,feature,mean,std,min,max,pct_on
train,vix_level,17.143608992767334,6.766780622668169,9.510000228881836,42.96089908599851,
train,credit_stress,2.5748029999999997,0.46744501556456036,1.6799,3.5603999999999907,
train,yield_curve,1.19258,0.7216407239540586,0.06990000000000003,2.6000999999999976,
train,growth_trend,0.0032359083276090194,0.03604111132428307,-0.1604773810453941,0.04353587280888749,
train,inflation_trend,0.017063679284248068,0.00875987502556477,-0.0010528998928202556,0.0375499603070808,
train,risk_off,0.252,0.4345960739525727,0.0,1.0,0.252
train,curve_inverted,0.0,0.0,0.0,0.0,0.0
train,inflation_up,0.412,0.49268801788345934,0.0,1.0,0.412
train,growth_down,0.55,0.4979919597583559,0.0,1.0,0.55
test,vix_level,19.180141570147345,5.1846057256255556,11.930000305175781,42.96089908599851,
test,credit_stress,1.8750262975778547,0.2016572960989139,1.6799,2.42,
test,yield_curve,0.4237643598615917,0.4241886698734198,0.06990000000000003,1.58,
test,growth_trend,0.008075879322886982,0.018690953795103223,-0.056805772711803426,0.04353587280888749,
test,inflation_trend,0.03204810299891707,0.006286431979291676,0.013204191315779434,0.0375499603070808,
test,risk_off,0.17301038062283736,0.3789123733759879,0.0,1.0,0.17301038062283736
test,curve_inverted,0.0,0.0,0.0,0.0,0.0
test,inflation_up,0.4117647058823529,0.4930066485916347,0.0,1.0,0.4117647058823529
test,growth_down,0.42214532871972316,0.49475818271331695,0.0,1.0,0.42214532871972316
