variant,annualized_return,annualized_volatility,sharpe,max_drawdown,rolling_12m_max_drawdown,turnover,annualized_turnover,hit_rate
full_m1,0.05913436892690105,0.09584800614764315,0.6169598231997769,-0.2016521271186711,-0.2016521271186711,0.10484217846378821,5.451793280116987,0.5842839036755386
ablate_momentum,0.05915769995246012,0.09046132633242795,0.6539556996441437,-0.15671199349550624,-0.15671199349550624,0.09200246560723004,4.784128211575962,0.5779467680608364
ablate_trend,0.062332358454964876,0.08161592920227095,0.7637278539154398,-0.16516145555660744,-0.16516145555660744,0.15592140974963425,8.107913306980981,0.5804816223067174
ablate_macro,0.05499691023821818,0.09039404277215661,0.608412994392131,-0.18188448672619695,-0.17748160686959802,0.09936824196949995,5.167148582413997,0.5817490494296578
ablate_risk_penalty,0.05437081937671295,0.09413036359586316,0.5776119128801754,-0.17878147282903145,-0.17878147282903145,0.09794192946155514,5.0929803320008675,0.5868187579214195
